共256个数据 测50次
0.002	0.035
0.001	0.003
0.002	0.036
0.002	0.009
0.004	0.042
0.003	0.011
0.002	0.022
0.002	0.031
0.002	0.043
0.004	0.004
0.002	0.004
0.001	0.042
0.003	0.014
0.002	0.043
0.002	0.044
0.002	0.044
0.003	0.043
0.003	0.042
0.003	0.043
0.002	0.012
0.002	0.044
0.002	0.043
0.002	0.007
0.002	0.043
0.002	0.039
0.002	0.044
0.002	0.013
0.002	0.043
0.002	0.043
0.002	0.04
0.001	0.004
0.002	0.025
0.002	0.017
0.003	0.048
	最好情况
0.002	0.006
	find的最坏情况
0.001	0.046
共32768个数据 测50次
	0.003	0.083
0.003	0.067
0.003	0.103
0.003	0.041
0.003	0.035
0.004	0.079
0.003	0.024
0.002	0.004
0.002	0.077
0.003	0.076
0.003	0.041
0.002	0.07
0.002	0.066
0.002	0.086
0.002	0.006
0.002	0.058
0.002	0.083
0.002	0.083
0.003	0.046
0.003	0.083
0.003	0.027
0.002	0.05
0.003	0.083
0.002	0.069
0.003	0.076
0.002	0.084
0.003	0.028
0.003	0.083
0.002	0.084
0.002	0.079
0.003	0.084
0.003	0.077
0.002	0.091
0.003	0.019
0.002	0.063
0.001	0.074
0.003	0.083
0.003	0.106
0.003	0.056
0.003	0.054
0.002	0.083
0.003	0.016
0.003	0.087
0.002	0.055
0.002	0.083
0.003	0.065
0.002	0.073
0.002	0.024
0.003	0.091
0.003	0.082
	最好情况
0.002	0.006
	find的最坏情况
0.003	0.105
共65536个数据 测50次
	0.003	0.052
0.002	0.092
0.002	0.005
0.002	0.163
0.002	0.157
0.003	0.128
0.003	0.048
0.002	0.053
0.002	0.162
0.002	0.01
0.002	0.088
0.002	0.164
0.003	0.013
0.002	0.024
0.004	0.008
0.002	0.16
0.005	0.166
0.003	0.165
0.002	0.163
0.002	0.043
0.003	0.166
0.002	0.164
0.003	0.084
0.003	0.041
0.002	0.081
0.002	0.164
0.002	0.111
0.004	0.163
0.003	0.108
0.002	0.1
0.002	0.163
0.003	0.104
0.002	0.163
0.003	0.163
0.002	0.054
0.004	0.16
0.003	0.146
0.002	0.123
0.002	0.046
0.002	0.165
0.002	0.164
0.003	0.039
0.002	0.06
0.003	0.021
0.002	0.164
0.003	0.164
0.003	0.011
0.003	0.017
0.002	0.008
0.003	0.17
	最好情况
0.001	0.004
	find的最坏情况
0.001	0.163
